"Valle-Inclán", "Femeninas", Narrativa, 1
"Valle-Inclán", "Sonatas", Narrativa, 1
"Valle-Inclán", "Tirano Banderas", Narrativa, 1
"Azorín", "La Voluntad", Narrativa, 1
"Azorín", "Antonio Azorín", Narrativa, 1
"Azorín", "Las confesiones de un pequeño filósofo", Narrativa, 1
"Miguel de Unamuno", "Amor y pedagogía", Narrativa, 1
"Miguel de Unamuno", "Niebla", Narrativa, 1
"Miguel de Unamuno", "En torno al casticismo", Narrativa, 1
"Miguel de Unamuno", "Del sentimiento trágico de la vida", Narrativa, 1
"Miguel de Unamuno", "La agonía del cristianismo", Narrativa, 1
"Miguel de Unamuno", "San Manuel Bueno, Mártir", Narrativa, 1
"Pío Baroja", "Camino de perfección", Narrativa, 1
"Pío Baroja", "Zalacaín el aventurero", Narrativa, 1
"Pío Baroja", "El árbol de la ciencia", Narrativa, 1
"Ángel Ganivet", "Pío Cid", Narrativa, 1
"Ramiro de Maeztu", "Hacia otra España", Narrativa, 1
"Ramiro de Maeztu", "Don Quijote, don Juan y la Celestina", Narrativa, 1
"Antonio Machado", "Juan de Mairena", Narrativa, 1
"Wenceslao Fernández Flórez", "El bosque animado", Narrativa, 1
"Gabriel Miró", Nuestro Padre San Daniel, Narrativa, 1
Ramón Pérez de Ayala, Belarmino y Apolonio, Narrativa, 1
Ramón Gómez de la Serna, El torero Caracho, Narrativa, 1
Benjamín Jarnés, El profesor inútil, Narrativa, 1
Benjamín Jarnés, Locura y muerte de nadie, Narrativa, 1
Francisco Ayala, El boxeador, Narrativa, 1
Francisco Ayala, El cazador en el alba, Narrativa, 1
Enrique Jardiel Poncela, Amor se escribe sin hache, Narrativa, 1
Edgar Neville, Don Clorato de Potasa, Narrativa, 1
Ramón J. Sender, Imán, Narrativa, 1

"Juan José Millas", "Los enamoramientos", Narrativa, 3
"Almudena Grandes", "Episodios de una guerra interminable", Narrativa, 3
"Javier Marías", "Todas las almas", Narrativa, 3
"Lourdes Ortiz", "Antes de la batalla", Narrativa, 3
"Luis Mateo Díez", "La fuente de la edad", Narrativa, 3
"Luis Landero", "Juegos de la edad tardía", Narrativa, 3
"Eduardo Alonso", "El insomnio de una noche de invierno", Narrativa, 3
"Paloma Díaz-Mas", "La tierra fértil", Narrativa, 3
"Eduardo Mendoza", "La verdad sobre el caso Savolta", Narrativa, 3
"Manuel Vázquez Montalbán", "La soledad del manager", Narrativa, 3
"Antonio Muñoz Molina", "El invierno en Lisboa", Narrativa, 3
"Manuel Vicent", "Balada de Caín", Narrativa, 3
"Arturo Pérez Reverte", "El club Dumas", Narrativa, 3
"Arturo Pérez Reverte", "Territorio Comanche", Narrativa, 3
"Arturo Pérez Reverte", "El Capitán Alatriste", Narrativa, 3
"Ray Loriga", "Lo peor de todo", Narrativa, 3
"Ray Loriga", "Héroes", Narrativa, 3
"José Ángel Mañas", "Historias del Kronen", Narrativa, 3
"Carlos Ruiz Zafón", "El príncipe de la niebla", Narrativa, 3
"Pedro Maestre", "Matando dinosaurios con tirachinas", Narrativa, 3

"Ángel González", "Palabra sobre palabra", Poesía, 3
"Ángel González", "Tratado de urbanismo", Poesía, 3
"Jaime Gil de Biedma", "Poemas póstumos", Poesía, 3
"José Ángel Valente", "A modo de esperanza", Poesía, 3
"José Ángel Valente", "Poemas a Lázaro", Poesía, 3
"Claudio Rodríguez", "Don de la ebriedad", Poesía, 3
"Claudio Rodríguez", "Conjuros", Poesía, 3
"José María Castellet", "Nueve novísimos poetas españoles", Poesía, 3
"Pere Gimferrer", "Arde el mar", Poesía, 3
"Antonio Colinas", "Sepulcro en Tarquinia", Poesía, 3
"Luis García Montero", "El jardín extranjero", Poesía, 3
"Luis García Montero", "La intimidad de la serpiente", Poesía, 3
"Carlos Marzal", "Metales Pesados", Poesía, 3
"Jon Juaristi", "Diario de un poeta recién cansado", Poesía, 3

Fernando Arrabal, Pic-nic, Teatro, 3
Fernando Arrabal, El arquitecto, Teatro, 3
Francisco Nieva, Pelo de tormenta, Teatro, 3
Francisco Nieva, Malditas sean Coronada y sus hijas, Teatro, 3
Francisco Nieva, Sombra y quimera de Larra, Teatro, 3
Antonio Gala, Los verdes campos del Edén, Teatro, 3
Fernando Fernán Gómez, Las bicicletas son para el verano, Teatro, 3
José Sanchís Sinisterra, "¡Ay, Carmela!", Teatro, 3
Fermín Cabal, "Esta noche, gran velada", Teatro, 3
Paloma Pedrero, Noches de amor efímero, Teatro, 3
José Luis Alonso de Santos, La estanquera de Vallecas, Teatro, 3
José Luis Alonso de Santos, Bajarse al moro, Teatro, 3
Juan Mayorga, El chico de la última fila, Teatro, 3
Angélica Liddell, Perro muerto en tintorería, Teatro, 3
Angélica Liddell, Una costilla sobre la mesa, Teatro, 3
